USD-JPY	06:00:00.110	94.797
EUR-JPY	06:00:00.151	123.604
USD-JPY	06:00:00.230	94.799
EUR-JPY	06:00:00.271	123.605
EUR-JPY	06:00:00.333	123.605
USD-JPY	06:00:00.352	94.798
EUR-USD	06:00:00.361	1.30384
EUR-JPY	06:00:00.640	123.6
EUR-USD	06:00:00.683	1.30381
USD-JPY	06:00:00.884	94.798
EUR-JPY	06:00:01.000	123.599
EUR-USD	06:00:01.109	1.30379
USD-JPY	06:00:01.251	94.796
EUR-JPY	06:00:01.331	123.597
EUR-USD	06:00:01.529	1.3038
USD-JPY	06:00:01.790	94.796
EUR-JPY	06:00:01.870	123.596
EUR-JPY	06:00:01.930	123.595
USD-JPY	06:00:02.031	94.794
EUR-USD	06:00:02.071	1.30381
USD-JPY	06:00:02.562	94.794
EUR-JPY	06:00:02.695	123.595
EUR-USD	06:00:03.180	1.30381
USD-JPY	06:00:03.290	94.794
EUR-USD	06:00:03.360	1.3038
EUR-JPY	06:00:03.391	123.593
EUR-JPY	06:00:03.510	123.592
USD-JPY	06:00:03.849	94.794
EUR-USD	06:00:03.903	1.30379
EUR-JPY	06:00:03.990	123.588
USD-JPY	06:00:04.759	94.794
EUR-USD	06:00:04.769	1.30376
EUR-JPY	06:00:04.774	123.586
USD-JPY	06:00:04.849	94.793
EUR-JPY	06:00:04.855	123.591
EUR-USD	06:00:05.101	1.30381
USD-JPY	06:00:05.161	94.794
EUR-JPY	06:00:05.220	123.591
USD-JPY	06:00:05.221	94.795
EUR-JPY	06:00:05.282	123.594
USD-JPY	06:00:05.283	94.794
EUR-USD	06:00:05.580	1.30381
EUR-JPY	06:00:05.580	123.593
EUR-JPY	06:00:05.641	123.592
USD-JPY	06:00:05.830	94.792
EUR-JPY	06:00:06.060	123.591
EUR-USD	06:00:06.110	1.3038
USD-JPY	06:00:06.370	94.793
EUR-USD	06:00:06.470	1.3038
EUR-JPY	06:00:06.591	123.591
USD-JPY	06:00:07.001	94.793
USD-JPY	06:00:08.101	94.793
USD-JPY	06:00:08.160	94.793
EUR-JPY	06:00:08.180	123.591
EUR-JPY	06:00:08.240	123.592
USD-JPY	06:00:08.281	94.794
USD-JPY	06:00:08.871	94.794
EUR-JPY	06:00:09.509	123.592
EUR-USD	06:00:10.021	1.30379
EUR-JPY	06:00:10.193	123.589
EUR-USD	06:00:10.330	1.30377
EUR-JPY	06:00:10.500	123.589
EUR-USD	06:00:10.850	1.30377
